Package,Pre-Processing Technique,Threshold,Cluster,Cluster Size,Features (Genes),Fbeta,layer,num_layers,activation,kernel_regularizer,optimizer,loss
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CHRM2,175,11190,0.669456,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Endo L2-6 NOSTRIN,9,11190,0.833333,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 TNFAIP8L3,16,11190,0.454545,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP SERPINF1,55,11190,0.930233,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB C1R,160,11190,0.791667,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CCDC184,64,11190,0.647059,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP PCDH20,61,11190,0.271739,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0.25974,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 GAD1 GLP1R,27,11190,0.277778,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 PVALB SULF1,167,11190,0.739437,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB FOLH1B,870,11190,0.846154,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 GAD1 MC4R,107,11190,0.57377,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST CHRNA4,52,11190,0.37037,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 PVALB WFDC2,387,11190,0.857143,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Oligo L1-6 OPALIN,313,11190,0.975232,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP ADAMTSL1,72,11190,0.887097,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 SST CALB1,279,11190,0.885417,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS DCSTAMP,53,11190,0,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Astro L1-2 FGFR3 GFAP,61,11190,0.875,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Astro L1-6 FGFR3 SLC14A1,230,11190,0.92,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB COL22A1,160,11190,0.855263,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST NPY,15,11190,0.666667,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST HPGD,60,11190,0.625,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 OR2T8,19,11190,0.277778,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 CDH12,90,11190,0.904255,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 RORB TTC12,167,11190,0.685841,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 SLC17A7 IL15,56,11190,0.533981,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L3-4 RORB CARM1P1,280,11190,0.68314,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 ABO,373,11190,0.985915,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Micro L1-3 TYROBP,63,11190,0.983607,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP LBH,47,11190,0.434783,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 SST BAGE2,108,11190,0.72,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST KLHDC8A,63,11190,0.529412,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 VIP HS3ST3A1,80,11190,0.803571,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 PAX6 SYT6,29,11190,0.666667,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST MIR548F2,80,11190,0.75,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB SEMA3E,777,11190,0.940989,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP OPRM1,52,11190,0.092593,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,OPC L1-6 PDGFRA,238,11190,1,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP TYR,62,11190,0.692308,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS C1QL3,1537,11190,0.957084,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-4 LAMP5 LCP2,356,6064,0.991254,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L2-3 LINC00507 FREM3,2284,6064,0.929147,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L2 LAMP5 LTK,812,6064,0.897933,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L5-6 PVALB LGR5,52,6064,0.882353,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-4 SST FRZB,64,6064,0.649351,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-3 VIP CASC6,45,6064,0.714286,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L3-5 RORB TWIST2,93,6064,0.574713,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-4 VIP CBLN1,67,6064,0.714286,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-4 VIP CHRNA6,25,6064,0.344828,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L2-4 LINC00507 GLP2R,170,6064,0.809859,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L5-6 THEMIS CRABP1,147,6064,0.784314,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L4-6 FEZF2 IL26,344,6064,0.974212,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-5 PVALB SCUBE3,32,6064,0.961538,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L4-6 SST B3GAT2,182,6064,0.931034,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-2 VIP TSPAN12,42,6064,0.625,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-4 VIP SPAG17,33,6064,0.428571,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L5-6 THEMIS FGF10,78,6064,0.630252,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L5-6 SST TH,27,6064,0.555556,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L4-5 PVALB MEPE,64,6064,0.846154,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-6 LAMP5 CA1,256,6064,1,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L4-5 RORB DAPK2,173,6064,0.804598,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L4-5 SST STK32A,93,6064,0.727273,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-6 VIP QPCT,37,6064,0.869565,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L3-5 SST ADGRG6,132,6064,0.964912,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L3-5 RORB FILIP1L,153,6064,0.60241,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L5-6 SST NPM1P10,79,6064,0.543478,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L3-5 RORB ESR1,1428,6064,0.990668,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L4-6 SST GXYLT2,41,6064,0,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-3 VIP GGH,68,6064,0.714286,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1 SST NMBR,283,6064,0.957854,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L5-6 FEZF2 EFTUD1P1,314,6064,0.899705,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-2 LAMP5 DBP,21,6064,0.357143,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L6 FEZF2 SCUBE1,52,6064,0.851064,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-4 VIP PENK,17,6064,0.625,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-3 VIP CHRM2,175,6064,0.78534,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Endo L2-6 NOSTRIN,9,6064,1,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-2 PAX6 TNFAIP8L3,16,6064,0,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-5 VIP SERPINF1,55,6064,0.348837,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L4-6 RORB C1R,160,6064,0.756579,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-3 VIP CCDC184,64,6064,0.49505,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-2 VIP PCDH20,61,6064,0.357143,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L4-5 FEZF2 SCN4B,25,6064,0.862069,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L5-6 GAD1 GLP1R,27,6064,0,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L4-6 PVALB SULF1,167,6064,0.643564,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L4-5 RORB FOLH1B,870,6064,0.947242,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-2 GAD1 MC4R,107,6064,0.809524,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1 SST CHRNA4,52,6064,0.633803,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-4 PVALB WFDC2,387,6064,0.969529,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Oligo L1-6 OPALIN,313,6064,0.984127,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-3 VIP ADAMTSL1,72,6064,0.775862,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-3 SST CALB1,279,6064,0.9375,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L5-6 THEMIS DCSTAMP,53,6064,0.454545,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Astro L1-2 FGFR3 GFAP,61,6064,0.909091,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Astro L1-6 FGFR3 SLC14A1,230,6064,0.92,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L3-5 RORB COL22A1,160,6064,0.953947,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L3-6 SST NPY,15,6064,0,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L3-6 SST HPGD,60,6064,0.859375,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L6 FEZF2 OR2T8,19,6064,0.138889,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-2 PAX6 CDH12,90,6064,0.849057,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L5-6 RORB TTC12,167,6064,0.767327,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L5-6 SLC17A7 IL15,56,6064,0.727273,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L3-4 RORB CARM1P1,280,6064,0.820896,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L5-6 FEZF2 ABO,373,6064,0.989446,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Micro L1-3 TYROBP,63,6064,0.983607,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-2 VIP LBH,47,6064,0.510204,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-2 SST BAGE2,108,6064,0.754717,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L5-6 SST KLHDC8A,63,6064,0.674157,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L3-6 VIP HS3ST3A1,80,6064,0.902778,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-3 PAX6 SYT6,29,6064,0.909091,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L5-6 SST MIR548F2,80,6064,0.46875,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L4-6 RORB SEMA3E,777,6064,0.902864,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L1-4 VIP OPRM1,52,6064,0.490196,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,OPC L1-6 PDGFRA,238,6064,1,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Inh L2-5 VIP TYR,62,6064,0.526316,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,1.5,Exc L5-6 THEMIS C1QL3,1537,6064,0.988451,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1-4 LAMP5 LCP2,356,3049,0.929919,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L2-3 LINC00507 FREM3,2284,3049,0.940318,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L2 LAMP5 LTK,812,3049,0.913098,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L5-6 PVALB LGR5,52,3049,0.820896,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L2-4 SST FRZB,64,3049,0.901639,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L2-3 VIP CASC6,45,3049,0.853659,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L3-5 RORB TWIST2,93,3049,0.684211,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L2-4 VIP CBLN1,67,3049,0.849057,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1-4 VIP CHRNA6,25,3049,0.952381,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L2-4 LINC00507 GLP2R,170,3049,0.733333,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L5-6 THEMIS CRABP1,147,3049,0.921986,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L4-6 FEZF2 IL26,344,3049,1,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L2-5 PVALB SCUBE3,32,3049,0.961538,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L4-6 SST B3GAT2,182,3049,0.837563,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1-2 VIP TSPAN12,42,3049,0.875,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L2-4 VIP SPAG17,33,3049,0.571429,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L5-6 THEMIS FGF10,78,3049,0.783133,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L5-6 SST TH,27,3049,1,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L4-5 PVALB MEPE,64,3049,0.901639,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L2-6 LAMP5 CA1,256,3049,0.969582,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L4-5 RORB DAPK2,173,3049,0.933735,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L4-5 SST STK32A,93,3049,0.772727,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L2-6 VIP QPCT,37,3049,0.652174,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L3-5 SST ADGRG6,132,3049,0.942623,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L3-5 RORB FILIP1L,153,3049,0.794118,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L5-6 SST NPM1P10,79,3049,0.855263,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L3-5 RORB ESR1,1428,3049,0.994338,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L4-6 SST GXYLT2,41,3049,0.972222,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1-3 VIP GGH,68,3049,0.731707,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1 SST NMBR,283,3049,0.968858,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L5-6 FEZF2 EFTUD1P1,314,3049,0.96463,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1-2 LAMP5 DBP,21,3049,0,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Exc L6 FEZF2 SCUBE1,52,3049,0.980392,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1-4 VIP PENK,17,3049,0.625,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1-3 VIP CHRM2,175,3049,0.772947,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Endo L2-6 NOSTRIN,9,3049,1,100 100 100,3,relu,1.00E-05,adam,SCCE
scikit-learn,Coefficient of Variation,2.5,Inh L1-2 PAX6 TNFAIP8L3,16,3049,0.909091,100 100 100,3,relu,1.00E-05,adam,SCCE
