Package,Pre-Processing Technique,Cluster,Cluster Size,Threshold,Features (Genes),Feature Reduction Technique,Kernel,Regularization,Gamma,TN,FP,FN,TP,Precision,Recall,F1 Score,F Beta
scikit-learn,Coefficient of Variation,Inh L5-6 SST NPM1P10,79,0.52,11190,n/a,sigmoid,1,scale,3105,0,16,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L3-5 RORB ESR1,1428,0.52,11190,n/a,sigmoid,1,scale,2827,9,3,282,0.969072,0.989474,0.979167,0.973085
scikit-learn,Coefficient of Variation,Inh L4-6 SST GXYLT2,41,0.52,11190,n/a,sigmoid,1,scale,3113,0,8,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 VIP GGH,68,0.52,11190,n/a,sigmoid,1,scale,3107,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1 SST NMBR,283,0.52,11190,n/a,sigmoid,1,scale,3063,1,1,56,0.982456,0.982456,0.982456,0.982456
scikit-learn,Coefficient of Variation,Exc L5-6 FEZF2 EFTUD1P1,314,0.52,11190,n/a,sigmoid,1,scale,3054,4,33,30,0.882353,0.47619,0.618557,0.753769
scikit-learn,Coefficient of Variation,Inh L1-2 LAMP5 DBP,21,0.52,11190,n/a,sigmoid,1,scale,3117,0,4,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L6 FEZF2 SCUBE1,52,0.52,11190,n/a,sigmoid,1,scale,3110,0,11,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-4 VIP PENK,17,0.52,11190,n/a,sigmoid,1,scale,3117,0,4,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 VIP CHRM2,175,0.52,11190,n/a,sigmoid,1,scale,3086,0,23,12,1,0.342857,0.510638,0.722892
scikit-learn,Coefficient of Variation,Endo L2-6 NOSTRIN,9,0.52,11190,n/a,sigmoid,1,scale,3119,0,2,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-2 PAX6 TNFAIP8L3,16,0.52,11190,n/a,sigmoid,1,scale,3118,0,3,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-5 VIP SERPINF1,55,0.52,11190,n/a,sigmoid,1,scale,3110,0,11,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-6 RORB C1R,160,0.52,11190,n/a,sigmoid,1,scale,3089,0,32,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 VIP CCDC184,64,0.52,11190,n/a,sigmoid,1,scale,3108,0,13,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-2 VIP PCDH20,61,0.52,11190,n/a,sigmoid,1,scale,3109,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-5 FEZF2 SCN4B,25,0.52,11190,n/a,sigmoid,1,scale,3116,0,5,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 GAD1 GLP1R,27,0.52,11190,n/a,sigmoid,1,scale,3115,0,6,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L4-6 PVALB SULF1,167,0.52,11190,n/a,sigmoid,1,scale,3087,0,34,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-5 RORB FOLH1B,870,0.52,11190,n/a,sigmoid,1,scale,2916,31,156,18,0.367347,0.103448,0.161435,0.243243
scikit-learn,Coefficient of Variation,Inh L1-2 GAD1 MC4R,107,0.52,11190,n/a,sigmoid,1,scale,3100,0,20,1,1,0.047619,0.090909,0.2
scikit-learn,Coefficient of Variation,Inh L1 SST CHRNA4,52,0.52,11190,n/a,sigmoid,1,scale,3110,0,11,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 PVALB WFDC2,387,0.52,11190,n/a,sigmoid,1,scale,3040,4,6,71,0.946667,0.922078,0.934211,0.941645
scikit-learn,Coefficient of Variation,Oligo L1-6 OPALIN,313,0.52,11190,n/a,sigmoid,1,scale,3058,0,1,62,1,0.984127,0.992,0.996785
scikit-learn,Coefficient of Variation,Inh L1-3 VIP ADAMTSL1,72,0.52,11190,n/a,sigmoid,1,scale,3107,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 SST CALB1,279,0.52,11190,n/a,sigmoid,1,scale,3062,3,11,45,0.9375,0.803571,0.865385,0.907258
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS DCSTAMP,53,0.52,11190,n/a,sigmoid,1,scale,3111,0,10,0,1,0,0,0
scikit-learn,Coefficient of Variation,Astro L1-2 FGFR3 GFAP,61,0.52,11190,n/a,sigmoid,1,scale,3109,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,Astro L1-6 FGFR3 SLC14A1,230,0.52,11190,n/a,sigmoid,1,scale,3066,9,1,45,0.833333,0.978261,0.9,0.858779
scikit-learn,Coefficient of Variation,Exc L3-5 RORB COL22A1,160,0.52,11190,n/a,sigmoid,1,scale,3088,1,27,5,0.833333,0.15625,0.263158,0.446429
scikit-learn,Coefficient of Variation,Inh L3-6 SST NPY,15,0.52,11190,n/a,sigmoid,1,scale,3118,0,3,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L3-6 SST HPGD,60,0.52,11190,n/a,sigmoid,1,scale,3109,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L6 FEZF2 OR2T8,19,0.52,11190,n/a,sigmoid,1,scale,3117,0,4,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-2 PAX6 CDH12,90,0.52,11190,n/a,sigmoid,1,scale,3103,0,10,8,1,0.444444,0.615385,0.8
scikit-learn,Coefficient of Variation,Exc L5-6 RORB TTC12,167,0.52,11190,n/a,sigmoid,1,scale,3087,0,34,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L5-6 SLC17A7 IL15,56,0.52,11190,n/a,sigmoid,1,scale,3110,0,11,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L3-4 RORB CARM1P1,280,0.52,11190,n/a,sigmoid,1,scale,3065,0,54,2,1,0.035714,0.068966,0.15625
scikit-learn,Coefficient of Variation,Exc L5-6 FEZF2 ABO,373,0.52,11190,n/a,sigmoid,1,scale,3045,1,14,61,0.983871,0.813333,0.890511,0.944272
scikit-learn,Coefficient of Variation,Micro L1-3 TYROBP,63,0.52,11190,n/a,sigmoid,1,scale,3108,0,0,13,1,1,1,1
scikit-learn,Coefficient of Variation,Inh L1-2 VIP LBH,47,0.52,11190,n/a,sigmoid,1,scale,3112,0,9,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-2 SST BAGE2,108,0.52,11190,n/a,sigmoid,1,scale,3100,0,21,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 SST KLHDC8A,63,0.52,11190,n/a,sigmoid,1,scale,3108,0,13,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L3-6 VIP HS3ST3A1,80,0.52,11190,n/a,sigmoid,1,scale,3105,0,16,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 PAX6 SYT6,29,0.52,11190,n/a,sigmoid,1,scale,3115,0,6,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 SST MIR548F2,80,0.52,11190,n/a,sigmoid,1,scale,3105,0,16,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-6 RORB SEMA3E,777,0.52,11190,n/a,sigmoid,1,scale,2933,33,59,96,0.744186,0.619355,0.676056,0.71535
scikit-learn,Coefficient of Variation,Inh L1-4 VIP OPRM1,52,0.52,11190,n/a,sigmoid,1,scale,3111,0,10,0,1,0,0,0
scikit-learn,Coefficient of Variation,OPC L1-6 PDGFRA,238,0.52,11190,n/a,sigmoid,1,scale,3073,0,0,48,1,1,1,1
scikit-learn,Coefficient of Variation,Inh L2-5 VIP TYR,62,0.52,11190,n/a,sigmoid,1,scale,3108,0,13,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS C1QL3,1537,0.52,11190,n/a,sigmoid,1,scale,2738,75,187,121,0.617347,0.392857,0.480159,0.554029
scikit-learn,Coefficient of Variation,Inh L1-4 LAMP5 LCP2,356,0.52,11190,n/a,rbf,1,scale,3150,2,2,71,0.972603,0.972603,0.972603,0.972603
scikit-learn,Coefficient of Variation,Exc L2-3 LINC00507 FREM3,2284,0.52,11190,n/a,rbf,1,scale,2743,24,39,419,0.945824,0.914847,0.930078,0.930078
scikit-learn,Coefficient of Variation,Exc L2 LAMP5 LTK,812,0.52,11190,n/a,rbf,1,scale,3042,19,18,146,0.884848,0.890244,0.887538,0.887538
scikit-learn,Coefficient of Variation,Inh L5-6 PVALB LGR5,52,0.52,11190,n/a,rbf,1,scale,3213,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 SST FRZB,64,0.52,11190,n/a,rbf,1,scale,3211,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-3 VIP CASC6,45,0.52,11190,n/a,rbf,1,scale,3215,0,10,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L3-5 RORB TWIST2,93,0.52,11190,n/a,rbf,1,scale,3205,0,20,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 VIP CBLN1,67,0.52,11190,n/a,rbf,1,scale,3210,0,15,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-4 VIP CHRNA6,25,0.52,11190,n/a,rbf,1,scale,3219,0,6,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L2-4 LINC00507 GLP2R,170,0.52,11190,n/a,rbf,1,scale,3190,0,35,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS CRABP1,147,0.52,11190,n/a,rbf,1,scale,3192,2,3,28,0.933333,0.903226,0.918033,0.918033
scikit-learn,Coefficient of Variation,Exc L4-6 FEZF2 IL26,344,0.52,11190,n/a,rbf,1,scale,3155,0,0,70,1,1,1,1
scikit-learn,Coefficient of Variation,Inh L2-5 PVALB SCUBE3,32,0.52,11190,n/a,rbf,1,scale,3217,0,8,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L4-6 SST B3GAT2,182,0.52,11190,n/a,rbf,1,scale,3187,0,29,9,1,0.236842,0.382979,0.382979
scikit-learn,Coefficient of Variation,Inh L1-2 VIP TSPAN12,42,0.52,11190,n/a,rbf,1,scale,3215,0,10,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 VIP SPAG17,33,0.52,11190,n/a,rbf,1,scale,3217,0,8,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS FGF10,78,0.52,11190,n/a,rbf,1,scale,3208,0,17,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 SST TH,27,0.52,11190,n/a,rbf,1,scale,3218,0,7,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L4-5 PVALB MEPE,64,0.52,11190,n/a,rbf,1,scale,3211,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-6 LAMP5 CA1,256,0.52,11190,n/a,rbf,1,scale,3172,0,2,51,1,0.962264,0.980769,0.980769
scikit-learn,Coefficient of Variation,Exc L4-5 RORB DAPK2,173,0.52,11190,n/a,rbf,1,scale,3189,0,17,19,1,0.527778,0.690909,0.690909
scikit-learn,Coefficient of Variation,Inh L4-5 SST STK32A,93,0.52,11190,n/a,rbf,1,scale,3205,0,20,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-6 VIP QPCT,37,0.52,11190,n/a,rbf,1,scale,3216,0,9,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L3-5 SST ADGRG6,132,0.52,11190,n/a,rbf,1,scale,3197,0,28,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L3-5 RORB FILIP1L,153,0.52,11190,n/a,rbf,1,scale,3193,0,32,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 SST NPM1P10,79,0.52,11190,n/a,rbf,1,scale,3208,0,17,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L3-5 RORB ESR1,1428,0.52,11190,n/a,rbf,1,scale,2933,5,3,284,0.982699,0.989547,0.986111,0.986111
scikit-learn,Coefficient of Variation,Inh L4-6 SST GXYLT2,41,0.52,11190,n/a,rbf,1,scale,3215,0,10,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 VIP GGH,68,0.52,11190,n/a,rbf,1,scale,3210,0,15,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1 SST NMBR,283,0.52,11190,n/a,rbf,1,scale,3167,0,2,56,1,0.965517,0.982456,0.982456
scikit-learn,Coefficient of Variation,Exc L5-6 FEZF2 EFTUD1P1,314,0.52,11190,n/a,rbf,1,scale,3160,1,1,63,0.984375,0.984375,0.984375,0.984375
scikit-learn,Coefficient of Variation,Inh L1-2 LAMP5 DBP,21,0.52,11190,n/a,rbf,1,scale,3219,0,6,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L6 FEZF2 SCUBE1,52,0.52,11190,n/a,rbf,1,scale,3213,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-4 VIP PENK,17,0.52,11190,n/a,rbf,1,scale,3220,0,5,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 VIP CHRM2,175,0.52,11190,n/a,rbf,1,scale,3189,0,16,20,1,0.555556,0.714286,0.714286
scikit-learn,Coefficient of Variation,Endo L2-6 NOSTRIN,9,0.52,11190,n/a,rbf,1,scale,3222,0,3,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-2 PAX6 TNFAIP8L3,16,0.52,11190,n/a,rbf,1,scale,3220,0,5,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-5 VIP SERPINF1,55,0.52,11190,n/a,rbf,1,scale,3213,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-6 RORB C1R,160,0.52,11190,n/a,rbf,1,scale,3192,0,33,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 VIP CCDC184,64,0.52,11190,n/a,rbf,1,scale,3211,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-2 VIP PCDH20,61,0.52,11190,n/a,rbf,1,scale,3211,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-5 FEZF2 SCN4B,25,0.52,11190,n/a,rbf,1,scale,3219,0,6,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 GAD1 GLP1R,27,0.52,11190,n/a,rbf,1,scale,3218,0,7,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L4-6 PVALB SULF1,167,0.52,11190,n/a,rbf,1,scale,3190,0,35,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-5 RORB FOLH1B,870,0.52,11190,n/a,rbf,1,scale,3040,10,16,159,0.940828,0.908571,0.924419,0.924419
scikit-learn,Coefficient of Variation,Inh L1-2 GAD1 MC4R,107,0.52,11190,n/a,rbf,1,scale,3202,0,18,5,1,0.217391,0.357143,0.357143
scikit-learn,Coefficient of Variation,Inh L1 SST CHRNA4,52,0.52,11190,n/a,rbf,1,scale,3213,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 PVALB WFDC2,387,0.52,11190,n/a,rbf,1,scale,3144,2,12,67,0.971014,0.848101,0.905405,0.905405
scikit-learn,Coefficient of Variation,Oligo L1-6 OPALIN,313,0.52,11190,n/a,rbf,1,scale,3160,1,1,63,0.984375,0.984375,0.984375,0.984375
scikit-learn,Coefficient of Variation,Inh L1-3 VIP ADAMTSL1,72,0.52,11190,n/a,rbf,1,scale,3209,0,16,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 SST CALB1,279,0.52,11190,n/a,rbf,1,scale,3167,1,4,53,0.981481,0.929825,0.954955,0.954955
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS DCSTAMP,53,0.52,11190,n/a,rbf,1,scale,3213,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,Astro L1-2 FGFR3 GFAP,61,0.52,11190,n/a,rbf,1,scale,3211,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Astro L1-6 FGFR3 SLC14A1,230,0.52,11190,n/a,rbf,1,scale,3167,11,0,47,0.810345,1,0.895238,0.895238
scikit-learn,Coefficient of Variation,Exc L3-5 RORB COL22A1,160,0.52,11190,n/a,rbf,1,scale,3192,0,8,25,1,0.757576,0.862069,0.862069
scikit-learn,Coefficient of Variation,Inh L3-6 SST NPY,15,0.52,11190,n/a,rbf,1,scale,3221,0,4,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L3-6 SST HPGD,60,0.52,11190,n/a,rbf,1,scale,3212,0,13,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L6 FEZF2 OR2T8,19,0.52,11190,n/a,rbf,1,scale,3220,0,5,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-2 PAX6 CDH12,90,0.52,11190,n/a,rbf,1,scale,3206,0,3,16,1,0.842105,0.914286,0.914286
scikit-learn,Coefficient of Variation,Exc L5-6 RORB TTC12,167,0.52,11190,n/a,rbf,1,scale,3190,0,16,19,1,0.542857,0.703704,0.703704
scikit-learn,Coefficient of Variation,Exc L5-6 SLC17A7 IL15,56,0.52,11190,n/a,rbf,1,scale,3212,0,13,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L3-4 RORB CARM1P1,280,0.52,11190,n/a,rbf,1,scale,3168,0,21,36,1,0.631579,0.774194,0.774194
scikit-learn,Coefficient of Variation,Exc L5-6 FEZF2 ABO,373,0.52,11190,n/a,rbf,1,scale,3149,0,1,75,1,0.986842,0.993377,0.993377
scikit-learn,Coefficient of Variation,Micro L1-3 TYROBP,63,0.52,11190,n/a,rbf,1,scale,3211,0,0,14,1,1,1,1
scikit-learn,Coefficient of Variation,Inh L1-2 VIP LBH,47,0.52,11190,n/a,rbf,1,scale,3214,0,11,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-2 SST BAGE2,108,0.52,11190,n/a,rbf,1,scale,3202,0,23,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 SST KLHDC8A,63,0.52,11190,n/a,rbf,1,scale,3211,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L3-6 VIP HS3ST3A1,80,0.52,11190,n/a,rbf,1,scale,3208,0,17,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L1-3 PAX6 SYT6,29,0.52,11190,n/a,rbf,1,scale,3218,0,7,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L5-6 SST MIR548F2,80,0.52,11190,n/a,rbf,1,scale,3208,0,17,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L4-6 RORB SEMA3E,777,0.52,11190,n/a,rbf,1,scale,3064,4,12,145,0.973154,0.923567,0.947712,0.947712
scikit-learn,Coefficient of Variation,Inh L1-4 VIP OPRM1,52,0.52,11190,n/a,rbf,1,scale,3213,0,12,0,1,0,0,0
scikit-learn,Coefficient of Variation,OPC L1-6 PDGFRA,238,0.52,11190,n/a,rbf,1,scale,3176,0,2,47,1,0.959184,0.979167,0.979167
scikit-learn,Coefficient of Variation,Inh L2-5 VIP TYR,62,0.52,11190,n/a,rbf,1,scale,3211,0,14,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS C1QL3,1537,0.52,11190,n/a,rbf,1,scale,2913,3,12,297,0.99,0.961165,0.975369,0.975369
scikit-learn,Coefficient of Variation,Inh L1-4 LAMP5 LCP2,356,0.52,11190,n/a,linear,1,scale,3049,1,1,70,0.985915,0.985915,0.985915,0.985915
scikit-learn,Coefficient of Variation,Exc L2-3 LINC00507 FREM3,2284,0.52,11190,n/a,linear,1,scale,2643,21,26,431,0.95354,0.943107,0.948295,0.948295
scikit-learn,Coefficient of Variation,Exc L2 LAMP5 LTK,812,0.52,11190,n/a,linear,1,scale,2942,17,9,153,0.9,0.944444,0.921687,0.921687
scikit-learn,Coefficient of Variation,Inh L5-6 PVALB LGR5,52,0.52,11190,n/a,linear,1,scale,3110,0,2,9,1,0.818182,0.9,0.9
scikit-learn,Coefficient of Variation,Inh L2-4 SST FRZB,64,0.52,11190,n/a,linear,1,scale,3108,0,12,1,1,0.076923,0.142857,0.142857
scikit-learn,Coefficient of Variation,Inh L2-3 VIP CASC6,45,0.52,11190,n/a,linear,1,scale,3112,0,7,2,1,0.222222,0.363636,0.363636
scikit-learn,Coefficient of Variation,Exc L3-5 RORB TWIST2,93,0.52,11190,n/a,linear,1,scale,3102,0,19,0,1,0,0,0
scikit-learn,Coefficient of Variation,Inh L2-4 VIP CBLN1,67,0.52,11190,n/a,linear,1,scale,3108,0,6,7,1,0.538462,0.7,0.7
scikit-learn,Coefficient of Variation,Inh L1-4 VIP CHRNA6,25,0.52,11190,n/a,linear,1,scale,3116,0,5,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L2-4 LINC00507 GLP2R,170,0.52,11190,n/a,linear,1,scale,3086,1,19,15,0.9375,0.441176,0.6,0.6
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS CRABP1,147,0.52,11190,n/a,linear,1,scale,3092,0,4,25,1,0.862069,0.925926,0.925926
scikit-learn,Coefficient of Variation,Exc L4-6 FEZF2 IL26,344,0.52,11190,n/a,linear,1,scale,3052,0,0,69,1,1,1,1
scikit-learn,Coefficient of Variation,Inh L2-5 PVALB SCUBE3,32,0.52,11190,n/a,linear,1,scale,3115,0,1,5,1,0.833333,0.909091,0.909091
scikit-learn,Coefficient of Variation,Inh L4-6 SST B3GAT2,182,0.52,11190,n/a,linear,1,scale,3084,0,8,29,1,0.783784,0.878788,0.878788
scikit-learn,Coefficient of Variation,Inh L1-2 VIP TSPAN12,42,0.52,11190,n/a,linear,1,scale,3113,0,6,2,1,0.25,0.4,0.4
scikit-learn,Coefficient of Variation,Inh L2-4 VIP SPAG17,33,0.52,11190,n/a,linear,1,scale,3114,0,7,0,1,0,0,0
scikit-learn,Coefficient of Variation,Exc L5-6 THEMIS FGF10,78,0.52,11190,n/a,linear,1,scale,3106,0,11,4,1,0.266667,0.421053,0.421053
scikit-learn,Coefficient of Variation,Inh L5-6 SST TH,27,0.52,11190,n/a,linear,1,scale,3116,0,2,3,1,0.6,0.75,0.75
scikit-learn,Coefficient of Variation,Inh L4-5 PVALB MEPE,64,0.52,11190,n/a,linear,1,scale,3108,0,8,5,1,0.384615,0.555556,0.555556
scikit-learn,Coefficient of Variation,Inh L2-6 LAMP5 CA1,256,0.52,11190,n/a,linear,1,scale,3070,0,0,51,1,1,1,1
scikit-learn,Coefficient of Variation,Exc L4-5 RORB DAPK2,173,0.52,11190,n/a,linear,1,scale,3086,1,7,27,0.964286,0.794118,0.870968,0.870968
scikit-learn,Coefficient of Variation,Inh L4-5 SST STK32A,93,0.52,11190,n/a,linear,1,scale,3103,0,5,13,1,0.722222,0.83871,0.83871
scikit-learn,Coefficient of Variation,Inh L2-6 VIP QPCT,37,0.52,11190,n/a,linear,1,scale,3114,0,6,1,1,0.142857,0.25,0.25
scikit-learn,Coefficient of Variation,Inh L3-5 SST ADGRG6,132,0.52,11190,n/a,linear,1,scale,3095,0,3,23,1,0.884615,0.938776,0.938776
scikit-learn,Coefficient of Variation,Exc L3-5 RORB FILIP1L,153,0.52,11190,n/a,linear,1,scale,3090,1,19,11,0.916667,0.366667,0.52381,0.52381
scikit-learn,Coefficient of Variation,Inh L5-6 SST NPM1P10,79,0.52,11190,n/a,linear,1,scale,3105,0,3,13,1,0.8125,0.896552,0.896552
scikit-learn,Coefficient of Variation,Exc L3-5 RORB ESR1,1428,0.52,11190,n/a,linear,1,scale,2833,3,2,283,0.98951,0.992982,0.991243,0.991243
