Package,Pre-Processing Technique,Threshold,Cluster,Cluster Size,Features (Genes),Fbeta,n_estimators
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB ESR1,1428,11190,0.985273,1000
scikit-learn,Coefficient of Variation,0.52,OPC L1-6 PDGFRA,238,11190,0.995671,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Exc L3-4 RORB CARM1P1,280,11190,0.719697,1000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB FOLH1B,870,11190,0.934844,1000
scikit-learn,Coefficient of Variation,0.52,Endo L2-6 NOSTRIN,9,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 SCUBE1,52,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP ADAMTSL1,72,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB COL22A1,160,11190,0.340909,1000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP PCDH20,61,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST MIR548F2,80,11190,0,1000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 SLC17A7 IL15,56,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB FILIP1L,153,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-3 VIP CASC6,45,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 SST FRZB,64,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP GGH,68,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Astro L1-6 FGFR3 SLC14A1,230,11190,0.885827,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST TH,27,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 VIP QPCT,37,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 GAD1 GLP1R,27,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST MIR548F2,80,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS DCSTAMP,53,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L2-4 LINC00507 GLP2R,170,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L2-3 LINC00507 FREM3,2284,11190,0.943078,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 PAX6 SYT6,29,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 PVALB MEPE,64,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST NPM1P10,79,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L2 LAMP5 LTK,812,11190,0.912763,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP TSPAN12,42,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CHRM2,175,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST HPGD,60,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 PVALB SULF1,167,11190,0.135135,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Oligo L1-6 OPALIN,313,11190,0.996732,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 SST BAGE2,108,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 OR2T8,19,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 TNFAIP8L3,16,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP PENK,17,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 SST CALB1,279,11190,0.601852,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 RORB TTC12,167,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CCDC184,64,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP LBH,47,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB TWIST2,93,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST B3GAT2,182,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP SPAG17,33,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST NPY,15,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 GAD1 MC4R,107,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST NMBR,283,11190,0.931818,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST CHRNA4,52,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 LAMP5 DBP,21,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Astro L1-2 FGFR3 GFAP,61,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB DAPK2,173,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 LAMP5 CA1,256,11190,0.958904,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 LAMP5 LCP2,356,11190,0.953177,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST KLHDC8A,63,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L3-5 SST ADGRG6,132,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 EFTUD1P1,314,11190,0.971731,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 CDH12,90,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Micro L1-3 TYROBP,63,11190,0.9375,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 SST STK32A,93,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB COL22A1,160,11190,0.340909,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 FEZF2 IL26,344,11190,0.997067,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP TYR,62,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 ABO,373,11190,0.947712,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB ESR1,1428,11190,0.985273,1500
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 SCUBE1,52,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-4 RORB CARM1P1,280,11190,0.703125,1500
scikit-learn,Coefficient of Variation,0.52,OPC L1-6 PDGFRA,238,11190,0.995671,1500
scikit-learn,Coefficient of Variation,0.52,Endo L2-6 NOSTRIN,9,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 VIP HS3ST3A1,80,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB C1R,160,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS FGF10,78,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP SERPINF1,55,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS CRABP1,147,11190,0.681818,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP OPRM1,52,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB SEMA3E,777,11190,0.896739,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS C1QL3,1537,11190,0.976372,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB FOLH1B,870,11190,0.934844,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP ADAMTSL1,72,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 PVALB WFDC2,387,11190,0.819328,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP PCDH20,61,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 SLC17A7 IL15,56,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB FILIP1L,153,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-3 VIP CASC6,45,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 SST FRZB,64,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP GGH,68,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Astro L1-6 FGFR3 SLC14A1,230,11190,0.885827,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST TH,27,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 VIP QPCT,37,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 GAD1 GLP1R,27,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST MIR548F2,80,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS DCSTAMP,53,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L2-4 LINC00507 GLP2R,170,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L2-3 LINC00507 FREM3,2284,11190,0.941261,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 PAX6 SYT6,29,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 PVALB MEPE,64,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST NPM1P10,79,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L2 LAMP5 LTK,812,11190,0.906902,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP TSPAN12,42,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CHRM2,175,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST HPGD,60,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 PVALB SULF1,167,11190,0.135135,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Oligo L1-6 OPALIN,313,11190,0.996732,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 SST BAGE2,108,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 OR2T8,19,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 TNFAIP8L3,16,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP PENK,17,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 SST CALB1,279,11190,0.55,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 RORB TTC12,167,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CCDC184,64,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP LBH,47,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB TWIST2,93,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST B3GAT2,182,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP SPAG17,33,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST NPY,15,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 GAD1 MC4R,107,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST NMBR,283,11190,0.931818,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST CHRNA4,52,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 LAMP5 DBP,21,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Astro L1-2 FGFR3 GFAP,61,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB DAPK2,173,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 LAMP5 CA1,256,11190,0.953488,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 LAMP5 LCP2,356,11190,0.953177,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST KLHDC8A,63,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L3-5 SST ADGRG6,132,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 EFTUD1P1,314,11190,0.967742,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 CDH12,90,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Micro L1-3 TYROBP,63,11190,0.9375,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 SST STK32A,93,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB COL22A1,160,11190,0.340909,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 FEZF2 IL26,344,11190,0.997067,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP TYR,62,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 ABO,373,11190,0.947712,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB ESR1,1428,11190,0.985273,2000
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 SCUBE1,52,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-4 RORB CARM1P1,280,11190,0.703125,2000
scikit-learn,Coefficient of Variation,0.52,OPC L1-6 PDGFRA,238,11190,0.995671,2000
scikit-learn,Coefficient of Variation,0.52,Endo L2-6 NOSTRIN,9,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 VIP HS3ST3A1,80,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB C1R,160,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS FGF10,78,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP SERPINF1,55,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS CRABP1,147,11190,0.714286,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP OPRM1,52,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB SEMA3E,777,11190,0.891544,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS C1QL3,1537,11190,0.977575,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB FOLH1B,870,11190,0.927762,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP ADAMTSL1,72,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 PVALB WFDC2,387,11190,0.819328,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP PCDH20,61,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 SLC17A7 IL15,56,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB FILIP1L,153,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-3 VIP CASC6,45,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 SST FRZB,64,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP GGH,68,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Astro L1-6 FGFR3 SLC14A1,230,11190,0.872093,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST TH,27,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 VIP QPCT,37,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 GAD1 GLP1R,27,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST MIR548F2,80,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS DCSTAMP,53,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L2-4 LINC00507 GLP2R,170,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L2-3 LINC00507 FREM3,2284,11190,0.943669,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 PAX6 SYT6,29,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 PVALB MEPE,64,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST NPM1P10,79,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L2 LAMP5 LTK,812,11190,0.906902,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP TSPAN12,42,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CHRM2,175,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST HPGD,60,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 PVALB SULF1,167,11190,0.135135,500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Oligo L1-6 OPALIN,313,11190,0.996732,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 SST BAGE2,108,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 OR2T8,19,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 TNFAIP8L3,16,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP PENK,17,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 SST CALB1,279,11190,0.625,500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 RORB TTC12,167,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CCDC184,64,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP LBH,47,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB TWIST2,93,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST B3GAT2,182,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP SPAG17,33,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST NPY,15,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 GAD1 MC4R,107,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST NMBR,283,11190,0.942982,500
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST CHRNA4,52,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 LAMP5 DBP,21,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Astro L1-2 FGFR3 GFAP,61,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB DAPK2,173,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 LAMP5 CA1,256,11190,0.964126,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 LAMP5 LCP2,356,11190,0.949153,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST KLHDC8A,63,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L3-5 SST ADGRG6,132,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 EFTUD1P1,314,11190,0.971731,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 CDH12,90,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Micro L1-3 TYROBP,63,11190,0.9375,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 SST STK32A,93,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB COL22A1,160,11190,0.340909,500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 FEZF2 IL26,344,11190,0.997067,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP TYR,62,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 ABO,373,11190,0.947712,500
