Package,Pre-Processing Technique,Threshold,Cluster,Cluster Size,Features (Genes),Fbeta,n_estimators
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0.892857,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP GGH,68,11190,0.789474,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST NMBR,283,11190,0.959596,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 EFTUD1P1,314,11190,0.951662,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 LAMP5 DBP,21,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 SCUBE1,52,11190,1,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP PENK,17,11190,0.625,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CHRM2,175,11190,0.63745,1500
scikit-learn,Coefficient of Variation,0.52,Endo L2-6 NOSTRIN,9,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 TNFAIP8L3,16,11190,0.714286,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP SERPINF1,55,11190,0.980392,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB C1R,160,11190,0.78125,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CCDC184,64,11190,0.555556,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP PCDH20,61,11190,0.916667,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0.952381,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 GAD1 GLP1R,27,11190,1,1500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 PVALB SULF1,167,11190,0.856164,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB FOLH1B,870,11190,0.928412,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 GAD1 MC4R,107,11190,0.813953,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST CHRNA4,52,11190,0.740741,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 PVALB WFDC2,387,11190,0.738964,1500
scikit-learn,Coefficient of Variation,0.52,Oligo L1-6 OPALIN,313,11190,0.984127,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP ADAMTSL1,72,11190,0.833333,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 SST CALB1,279,11190,0.848765,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS DCSTAMP,53,11190,0.882353,1500
scikit-learn,Coefficient of Variation,0.52,Astro L1-2 FGFR3 GFAP,61,11190,0.625,1500
scikit-learn,Coefficient of Variation,0.52,Astro L1-6 FGFR3 SLC14A1,230,11190,0.851852,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB COL22A1,160,11190,0.914634,1500
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST NPY,15,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST HPGD,60,11190,0.909091,1500
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 OR2T8,19,11190,0,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 CDH12,90,11190,0.882353,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 RORB TTC12,167,11190,0.941176,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 SLC17A7 IL15,56,11190,0.980392,1500
scikit-learn,Coefficient of Variation,0.52,Exc L3-4 RORB CARM1P1,280,11190,0.868644,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 ABO,373,11190,0.989446,1500
scikit-learn,Coefficient of Variation,0.52,Micro L1-3 TYROBP,63,11190,0.869565,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP LBH,47,11190,0.909091,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 SST BAGE2,108,11190,0.952381,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST KLHDC8A,63,11190,0.918367,1500
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 VIP HS3ST3A1,80,11190,0.8,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 PAX6 SYT6,29,11190,0.961538,1500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST MIR548F2,80,11190,0.78125,1500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB SEMA3E,777,11190,0.870617,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP OPRM1,52,11190,0.689655,1500
scikit-learn,Coefficient of Variation,0.52,OPC L1-6 PDGFRA,238,11190,0.983607,1500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP TYR,62,11190,1,1500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS C1QL3,1537,11190,0.96519,1500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 LAMP5 LCP2,356,11190,0.953678,2000
scikit-learn,Coefficient of Variation,0.52,Exc L2-3 LINC00507 FREM3,2284,11190,0.886301,2000
scikit-learn,Coefficient of Variation,0.52,Exc L2 LAMP5 LTK,812,11190,0.835322,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,1,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 SST FRZB,64,11190,0.294118,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-3 VIP CASC6,45,11190,0.754717,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB TWIST2,93,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0.849057,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0.769231,2000
scikit-learn,Coefficient of Variation,0.52,Exc L2-4 LINC00507 GLP2R,170,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS CRABP1,147,11190,0.828402,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 FEZF2 IL26,344,11190,1,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,1,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST B3GAT2,182,11190,0.829493,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP TSPAN12,42,11190,0.972222,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP SPAG17,33,11190,0.789474,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS FGF10,78,11190,0.784314,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST TH,27,11190,0.952381,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 PVALB MEPE,64,11190,0.47619,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 LAMP5 CA1,256,11190,0.984556,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB DAPK2,173,11190,0.833333,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 SST STK32A,93,11190,0.957447,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 VIP QPCT,37,11190,0.869565,2000
scikit-learn,Coefficient of Variation,0.52,Inh L3-5 SST ADGRG6,132,11190,0.954545,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB FILIP1L,153,11190,0.4,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST NPM1P10,79,11190,0.875,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB ESR1,1428,11190,0.919094,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0.892857,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP GGH,68,11190,0.789474,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST NMBR,283,11190,0.959596,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 EFTUD1P1,314,11190,0.951662,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 LAMP5 DBP,21,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 SCUBE1,52,11190,1,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP PENK,17,11190,0.625,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CHRM2,175,11190,0.647059,2000
scikit-learn,Coefficient of Variation,0.52,Endo L2-6 NOSTRIN,9,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 TNFAIP8L3,16,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP SERPINF1,55,11190,0.980392,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB C1R,160,11190,0.833333,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CCDC184,64,11190,0.609756,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP PCDH20,61,11190,0.859375,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0.952381,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 GAD1 GLP1R,27,11190,1,2000
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 PVALB SULF1,167,11190,0.84507,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB FOLH1B,870,11190,0.928412,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 GAD1 MC4R,107,11190,0.813953,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST CHRNA4,52,11190,0.740741,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 PVALB WFDC2,387,11190,0.744681,2000
scikit-learn,Coefficient of Variation,0.52,Oligo L1-6 OPALIN,313,11190,0.984127,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP ADAMTSL1,72,11190,0.833333,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 SST CALB1,279,11190,0.838415,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS DCSTAMP,53,11190,0.882353,2000
scikit-learn,Coefficient of Variation,0.52,Astro L1-2 FGFR3 GFAP,61,11190,0.625,2000
scikit-learn,Coefficient of Variation,0.52,Astro L1-6 FGFR3 SLC14A1,230,11190,0.851852,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB COL22A1,160,11190,0.914634,2000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST NPY,15,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 SST HPGD,60,11190,0.875,2000
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 OR2T8,19,11190,0,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 CDH12,90,11190,0.849057,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 RORB TTC12,167,11190,0.948276,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 SLC17A7 IL15,56,11190,0.980392,2000
scikit-learn,Coefficient of Variation,0.52,Exc L3-4 RORB CARM1P1,280,11190,0.868644,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 ABO,373,11190,0.989446,2000
scikit-learn,Coefficient of Variation,0.52,Micro L1-3 TYROBP,63,11190,0.869565,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP LBH,47,11190,0.909091,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 SST BAGE2,108,11190,0.952381,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST KLHDC8A,63,11190,0.918367,2000
scikit-learn,Coefficient of Variation,0.52,Inh L3-6 VIP HS3ST3A1,80,11190,0.8,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 PAX6 SYT6,29,11190,0.909091,2000
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST MIR548F2,80,11190,0.808824,2000
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB SEMA3E,777,11190,0.870617,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP OPRM1,52,11190,0.740741,2000
scikit-learn,Coefficient of Variation,0.52,OPC L1-6 PDGFRA,238,11190,0.983607,2000
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP TYR,62,11190,1,2000
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS C1QL3,1537,11190,0.96764,2000
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 LAMP5 LCP2,356,11190,0.953678,500
scikit-learn,Coefficient of Variation,0.52,Exc L2-3 LINC00507 FREM3,2284,11190,0.882933,500
scikit-learn,Coefficient of Variation,0.52,Exc L2 LAMP5 LTK,812,11190,0.827423,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 PVALB LGR5,52,11190,1,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 SST FRZB,64,11190,0.294118,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-3 VIP CASC6,45,11190,0.816327,500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB TWIST2,93,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP CBLN1,67,11190,0.757576,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP CHRNA6,25,11190,0.769231,500
scikit-learn,Coefficient of Variation,0.52,Exc L2-4 LINC00507 GLP2R,170,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS CRABP1,147,11190,0.828402,500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 FEZF2 IL26,344,11190,1,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 PVALB SCUBE3,32,11190,1,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST B3GAT2,182,11190,0.81448,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP TSPAN12,42,11190,0.972222,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 VIP SPAG17,33,11190,0.526316,500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 THEMIS FGF10,78,11190,0.744681,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST TH,27,11190,0.952381,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 PVALB MEPE,64,11190,0.6,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 LAMP5 CA1,256,11190,0.984556,500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB DAPK2,173,11190,0.833333,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-5 SST STK32A,93,11190,0.957447,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-6 VIP QPCT,37,11190,0.869565,500
scikit-learn,Coefficient of Variation,0.52,Inh L3-5 SST ADGRG6,132,11190,0.943396,500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB FILIP1L,153,11190,0.5,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 SST NPM1P10,79,11190,0.875,500
scikit-learn,Coefficient of Variation,0.52,Exc L3-5 RORB ESR1,1428,11190,0.91672,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 SST GXYLT2,41,11190,0.892857,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP GGH,68,11190,0.833333,500
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST NMBR,283,11190,0.959596,500
scikit-learn,Coefficient of Variation,0.52,Exc L5-6 FEZF2 EFTUD1P1,314,11190,0.940299,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 LAMP5 DBP,21,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Exc L6 FEZF2 SCUBE1,52,11190,0.932203,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-4 VIP PENK,17,11190,0.833333,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CHRM2,175,11190,0.627376,500
scikit-learn,Coefficient of Variation,0.52,Endo L2-6 NOSTRIN,9,11190,0,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 PAX6 TNFAIP8L3,16,11190,0.714286,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-5 VIP SERPINF1,55,11190,0.980392,500
scikit-learn,Coefficient of Variation,0.52,Exc L4-6 RORB C1R,160,11190,0.8,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-3 VIP CCDC184,64,11190,0.471698,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 VIP PCDH20,61,11190,0.916667,500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 FEZF2 SCN4B,25,11190,0.952381,500
scikit-learn,Coefficient of Variation,0.52,Inh L5-6 GAD1 GLP1R,27,11190,1,500
scikit-learn,Coefficient of Variation,0.52,Inh L4-6 PVALB SULF1,167,11190,0.769231,500
scikit-learn,Coefficient of Variation,0.52,Exc L4-5 RORB FOLH1B,870,11190,0.936795,500
scikit-learn,Coefficient of Variation,0.52,Inh L1-2 GAD1 MC4R,107,11190,0.789474,500
scikit-learn,Coefficient of Variation,0.52,Inh L1 SST CHRNA4,52,11190,0.526316,500
scikit-learn,Coefficient of Variation,0.52,Inh L2-4 PVALB WFDC2,387,11190,0.722326,500
scikit-learn,Coefficient of Variation,0.52,Oligo L1-6 OPALIN,313,11190,0.984127,500
