Package,Cluster,Cluster Size,Pre-Processing Technique,Threshold,Features (Genes),TN,FP,FN,TP,F Beta,Penalty,Solver,C
scikit-learn,Inh L1-3 SST CALB1,279,Binary Score,0.01,4741,3065,0,7,49,0.972222,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS DCSTAMP,53,Binary Score,0.01,4741,3111,0,6,4,0.769231,l2,lbfgs,1
scikit-learn,Astro L1-2 FGFR3 GFAP,61,Binary Score,0.01,4741,3109,0,4,8,0.909091,l2,lbfgs,1
scikit-learn,Astro L1-6 FGFR3 SLC14A1,230,Binary Score,0.01,4741,3071,4,0,46,0.934959,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB COL22A1,160,Binary Score,0.01,4741,3087,2,2,30,0.9375,l2,lbfgs,1
scikit-learn,Inh L3-6 SST NPY,15,Binary Score,0.01,4741,3118,0,3,0,0,l2,lbfgs,1
scikit-learn,Inh L3-6 SST HPGD,60,Binary Score,0.01,4741,3109,0,3,9,0.9375,l2,lbfgs,1
scikit-learn,Exc L6 FEZF2 OR2T8,19,Binary Score,0.01,4741,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Inh L1-2 PAX6 CDH12,90,Binary Score,0.01,4741,3103,0,0,18,1,l2,lbfgs,1
scikit-learn,Exc L5-6 RORB TTC12,167,Binary Score,0.01,4741,3086,1,8,26,0.915493,l2,lbfgs,1
scikit-learn,Exc L5-6 SLC17A7 IL15,56,Binary Score,0.01,4741,3110,0,5,6,0.857143,l2,lbfgs,1
scikit-learn,Exc L3-4 RORB CARM1P1,280,Binary Score,0.01,4741,3065,0,9,47,0.963115,l2,lbfgs,1
scikit-learn,Exc L5-6 FEZF2 ABO,373,Binary Score,0.01,4741,3046,0,1,74,0.997305,l2,lbfgs,1
scikit-learn,Micro L1-3 TYROBP,63,Binary Score,0.01,4741,3107,1,0,13,0.942029,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP LBH,47,Binary Score,0.01,4741,3112,0,8,1,0.384615,l2,lbfgs,1
scikit-learn,Inh L1-2 SST BAGE2,108,Binary Score,0.01,4741,3100,0,2,19,0.979381,l2,lbfgs,1
scikit-learn,Inh L5-6 SST KLHDC8A,63,Binary Score,0.01,4741,3108,0,5,8,0.888889,l2,lbfgs,1
scikit-learn,Inh L3-6 VIP HS3ST3A1,80,Binary Score,0.01,4741,3104,1,4,12,0.882353,l2,lbfgs,1
scikit-learn,Inh L1-3 PAX6 SYT6,29,Binary Score,0.01,4741,3115,0,4,2,0.714286,l2,lbfgs,1
scikit-learn,Inh L5-6 SST MIR548F2,80,Binary Score,0.01,4741,3105,0,6,10,0.892857,l2,lbfgs,1
scikit-learn,Exc L4-6 RORB SEMA3E,777,Binary Score,0.01,4741,2957,9,11,144,0.938722,l2,lbfgs,1
scikit-learn,Inh L1-4 VIP OPRM1,52,Binary Score,0.01,4741,3111,0,9,1,0.357143,l2,lbfgs,1
scikit-learn,OPC L1-6 PDGFRA,238,Binary Score,0.01,4741,3072,1,0,48,0.983607,l2,lbfgs,1
scikit-learn,Inh L2-5 VIP TYR,62,Binary Score,0.01,4741,3108,0,5,8,0.888889,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS C1QL3,1537,Binary Score,0.01,4741,2806,7,9,299,0.975849,l2,lbfgs,1
scikit-learn,Inh L1-4 LAMP5 LCP2,356,Binary Score,0.05,10029,3049,1,1,70,0.985915,l2,lbfgs,1
scikit-learn,Exc L2-3 LINC00507 FREM3,2284,Binary Score,0.05,10029,2640,24,30,427,0.944272,l2,lbfgs,1
scikit-learn,Exc L2 LAMP5 LTK,812,Binary Score,0.05,10029,2944,15,10,152,0.915663,l2,lbfgs,1
scikit-learn,Inh L5-6 PVALB LGR5,52,Binary Score,0.05,10029,3110,0,4,7,0.897436,l2,lbfgs,1
scikit-learn,Inh L2-4 SST FRZB,64,Binary Score,0.05,10029,3108,0,13,0,0,l2,lbfgs,1
scikit-learn,Inh L2-3 VIP CASC6,45,Binary Score,0.05,10029,3112,0,7,2,0.588235,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB TWIST2,93,Binary Score,0.05,10029,3102,0,18,1,0.217391,l2,lbfgs,1
scikit-learn,Inh L2-4 VIP CBLN1,67,Binary Score,0.05,10029,3108,0,8,5,0.757576,l2,lbfgs,1
scikit-learn,Inh L1-4 VIP CHRNA6,25,Binary Score,0.05,10029,3116,0,5,0,0,l2,lbfgs,1
scikit-learn,Exc L2-4 LINC00507 GLP2R,170,Binary Score,0.05,10029,3086,1,20,14,0.744681,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS CRABP1,147,Binary Score,0.05,10029,3091,1,4,25,0.93985,l2,lbfgs,1
scikit-learn,Exc L4-6 FEZF2 IL26,344,Binary Score,0.05,10029,3052,0,0,69,1,l2,lbfgs,1
scikit-learn,Inh L2-5 PVALB SCUBE3,32,Binary Score,0.05,10029,3115,0,1,5,0.961538,l2,lbfgs,1
scikit-learn,Inh L4-6 SST B3GAT2,182,Binary Score,0.05,10029,3084,0,9,28,0.939597,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP TSPAN12,42,Binary Score,0.05,10029,3113,0,7,1,0.416667,l2,lbfgs,1
scikit-learn,Inh L2-4 VIP SPAG17,33,Binary Score,0.05,10029,3114,0,7,0,0,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS FGF10,78,Binary Score,0.05,10029,3106,0,11,4,0.645161,l2,lbfgs,1
scikit-learn,Inh L5-6 SST TH,27,Binary Score,0.05,10029,3116,0,2,3,0.882353,l2,lbfgs,1
scikit-learn,Inh L4-5 PVALB MEPE,64,Binary Score,0.05,10029,3108,0,8,5,0.757576,l2,lbfgs,1
scikit-learn,Inh L2-6 LAMP5 CA1,256,Binary Score,0.05,10029,3070,0,0,51,1,l2,lbfgs,1
scikit-learn,Exc L4-5 RORB DAPK2,173,Binary Score,0.05,10029,3086,1,7,27,0.924658,l2,lbfgs,1
scikit-learn,Inh L4-5 SST STK32A,93,Binary Score,0.05,10029,3103,0,5,13,0.928571,l2,lbfgs,1
scikit-learn,Inh L2-6 VIP QPCT,37,Binary Score,0.05,10029,3114,0,6,1,0.454545,l2,lbfgs,1
scikit-learn,Inh L3-5 SST ADGRG6,132,Binary Score,0.05,10029,3095,0,5,21,0.954545,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB FILIP1L,153,Binary Score,0.05,10029,3091,0,22,8,0.645161,l2,lbfgs,1
scikit-learn,Inh L5-6 SST NPM1P10,79,Binary Score,0.05,10029,3105,0,4,12,0.9375,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB ESR1,1428,Binary Score,0.05,10029,2831,5,2,283,0.98469,l2,lbfgs,1
scikit-learn,Inh L4-6 SST GXYLT2,41,Binary Score,0.05,10029,3113,0,6,2,0.625,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP GGH,68,Binary Score,0.05,10029,3107,0,9,5,0.735294,l2,lbfgs,1
scikit-learn,Inh L1 SST NMBR,283,Binary Score,0.05,10029,3064,0,1,56,0.996441,l2,lbfgs,1
scikit-learn,Exc L5-6 FEZF2 EFTUD1P1,314,Binary Score,0.05,10029,3058,0,3,60,0.990099,l2,lbfgs,1
scikit-learn,Inh L1-2 LAMP5 DBP,21,Binary Score,0.05,10029,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Exc L6 FEZF2 SCUBE1,52,Binary Score,0.05,10029,3110,0,2,9,0.957447,l2,lbfgs,1
scikit-learn,Inh L1-4 VIP PENK,17,Binary Score,0.05,10029,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP CHRM2,175,Binary Score,0.05,10029,3084,2,8,27,0.89404,l2,lbfgs,1
scikit-learn,Endo L2-6 NOSTRIN,9,Binary Score,0.05,10029,3119,0,2,0,0,l2,lbfgs,1
scikit-learn,Inh L1-2 PAX6 TNFAIP8L3,16,Binary Score,0.05,10029,3118,0,3,0,0,l2,lbfgs,1
scikit-learn,Inh L2-5 VIP SERPINF1,55,Binary Score,0.05,10029,3110,0,7,4,0.740741,l2,lbfgs,1
scikit-learn,Exc L4-6 RORB C1R,160,Binary Score,0.05,10029,3089,0,12,20,0.892857,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP CCDC184,64,Binary Score,0.05,10029,3108,0,11,2,0.47619,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP PCDH20,61,Binary Score,0.05,10029,3109,0,6,6,0.833333,l2,lbfgs,1
scikit-learn,Exc L4-5 FEZF2 SCN4B,25,Binary Score,0.05,10029,3116,0,1,4,0.952381,l2,lbfgs,1
scikit-learn,Inh L5-6 GAD1 GLP1R,27,Binary Score,0.05,10029,3115,0,6,0,0,l2,lbfgs,1
scikit-learn,Inh L4-6 PVALB SULF1,167,Binary Score,0.05,10029,3087,0,18,16,0.816327,l2,lbfgs,1
scikit-learn,Exc L4-5 RORB FOLH1B,870,Binary Score,0.05,10029,2941,6,4,170,0.968109,l2,lbfgs,1
scikit-learn,Inh L1-2 GAD1 MC4R,107,Binary Score,0.05,10029,3100,0,2,19,0.979381,l2,lbfgs,1
scikit-learn,Inh L1 SST CHRNA4,52,Binary Score,0.05,10029,3110,0,11,0,0,l2,lbfgs,1
scikit-learn,Inh L2-4 PVALB WFDC2,387,Binary Score,0.05,10029,3042,2,5,72,0.965147,l2,lbfgs,1
scikit-learn,Oligo L1-6 OPALIN,313,Binary Score,0.05,10029,3057,1,1,62,0.984127,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP ADAMTSL1,72,Binary Score,0.05,10029,3107,0,4,10,0.925926,l2,lbfgs,1
scikit-learn,Inh L1-3 SST CALB1,279,Binary Score,0.05,10029,3065,0,6,50,0.976563,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS DCSTAMP,53,Binary Score,0.05,10029,3111,0,6,4,0.769231,l2,lbfgs,1
scikit-learn,Astro L1-2 FGFR3 GFAP,61,Binary Score,0.05,10029,3109,0,4,8,0.909091,l2,lbfgs,1
scikit-learn,Astro L1-6 FGFR3 SLC14A1,230,Binary Score,0.05,10029,3071,4,0,46,0.934959,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB COL22A1,160,Binary Score,0.05,10029,3086,3,4,28,0.897436,l2,lbfgs,1
scikit-learn,Inh L3-6 SST NPY,15,Binary Score,0.05,10029,3118,0,3,0,0,l2,lbfgs,1
scikit-learn,Inh L3-6 SST HPGD,60,Binary Score,0.05,10029,3109,0,5,7,0.875,l2,lbfgs,1
scikit-learn,Exc L6 FEZF2 OR2T8,19,Binary Score,0.05,10029,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Inh L1-2 PAX6 CDH12,90,Binary Score,0.05,10029,3103,0,1,17,0.988372,l2,lbfgs,1
scikit-learn,Exc L5-6 RORB TTC12,167,Binary Score,0.05,10029,3086,1,7,27,0.924658,l2,lbfgs,1
scikit-learn,Exc L5-6 SLC17A7 IL15,56,Binary Score,0.05,10029,3110,0,6,5,0.806452,l2,lbfgs,1
scikit-learn,Exc L3-4 RORB CARM1P1,280,Binary Score,0.05,10029,3064,1,13,43,0.926724,l2,lbfgs,1
scikit-learn,Exc L5-6 FEZF2 ABO,373,Binary Score,0.05,10029,3046,0,0,75,1,l2,lbfgs,1
scikit-learn,Micro L1-3 TYROBP,63,Binary Score,0.05,10029,3108,0,0,13,1,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP LBH,47,Binary Score,0.05,10029,3112,0,7,2,0.588235,l2,lbfgs,1
scikit-learn,Inh L1-2 SST BAGE2,108,Binary Score,0.05,10029,3100,0,5,16,0.941176,l2,lbfgs,1
scikit-learn,Inh L5-6 SST KLHDC8A,63,Binary Score,0.05,10029,3108,0,7,6,0.810811,l2,lbfgs,1
scikit-learn,Inh L3-6 VIP HS3ST3A1,80,Binary Score,0.05,10029,3105,0,4,12,0.9375,l2,lbfgs,1
scikit-learn,Inh L1-3 PAX6 SYT6,29,Binary Score,0.05,10029,3115,0,5,1,0.5,l2,lbfgs,1
scikit-learn,Inh L5-6 SST MIR548F2,80,Binary Score,0.05,10029,3105,0,7,9,0.865385,l2,lbfgs,1
scikit-learn,Exc L4-6 RORB SEMA3E,777,Binary Score,0.05,10029,2960,6,12,143,0.952064,l2,lbfgs,1
scikit-learn,Inh L1-4 VIP OPRM1,52,Binary Score,0.05,10029,3111,0,10,0,0,l2,lbfgs,1
scikit-learn,OPC L1-6 PDGFRA,238,Binary Score,0.05,10029,3072,1,0,48,0.983607,l2,lbfgs,1
scikit-learn,Inh L2-5 VIP TYR,62,Binary Score,0.05,10029,3108,0,5,8,0.888889,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS C1QL3,1537,Binary Score,0.05,10029,2808,5,10,298,0.980263,l2,lbfgs,1
scikit-learn,Inh L1-4 LAMP5 LCP2,356,Binary Score,0.1,12604,3049,1,1,70,0.964187,l2,lbfgs,1
scikit-learn,Exc L2-3 LINC00507 FREM3,2284,Binary Score,0.1,12604,2642,22,29,428,0.924078,l2,lbfgs,1
scikit-learn,Exc L2 LAMP5 LTK,812,Binary Score,0.1,12604,2942,17,8,154,0.902948,l2,lbfgs,1
scikit-learn,Inh L5-6 PVALB LGR5,52,Binary Score,0.1,12604,3110,0,6,5,0.857143,l2,lbfgs,1
scikit-learn,Inh L2-4 SST FRZB,64,Binary Score,0.1,12604,3108,0,13,0,0.294118,l2,lbfgs,1
scikit-learn,Inh L2-3 VIP CASC6,45,Binary Score,0.1,12604,3112,0,9,0,0.588235,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB TWIST2,93,Binary Score,0.1,12604,3102,0,19,0,0,l2,lbfgs,1
scikit-learn,Inh L2-4 VIP CBLN1,67,Binary Score,0.1,12604,3108,0,8,5,0.689655,l2,lbfgs,1
scikit-learn,Inh L1-4 VIP CHRNA6,25,Binary Score,0.1,12604,3116,0,5,0,0,l2,lbfgs,1
scikit-learn,Exc L2-4 LINC00507 GLP2R,170,Binary Score,0.1,12604,3086,1,21,13,0.784314,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS CRABP1,147,Binary Score,0.1,12604,3092,0,4,25,0.948905,l2,lbfgs,1
scikit-learn,Exc L4-6 FEZF2 IL26,344,Binary Score,0.1,12604,3052,0,0,69,1,l2,lbfgs,1
scikit-learn,Inh L2-5 PVALB SCUBE3,32,Binary Score,0.1,12604,3115,0,1,5,0.833333,l2,lbfgs,1
scikit-learn,Inh L4-6 SST B3GAT2,182,Binary Score,0.1,12604,3084,0,7,30,0.915033,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP TSPAN12,42,Binary Score,0.1,12604,3113,0,8,0,0.75,l2,lbfgs,1
scikit-learn,Inh L2-4 VIP SPAG17,33,Binary Score,0.1,12604,3114,0,7,0,0,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS FGF10,78,Binary Score,0.1,12604,3106,0,13,2,0.571429,l2,lbfgs,1
scikit-learn,Inh L5-6 SST TH,27,Binary Score,0.1,12604,3116,0,2,3,0.882353,l2,lbfgs,1
scikit-learn,Inh L4-5 PVALB MEPE,64,Binary Score,0.1,12604,3108,0,9,4,0.757576,l2,lbfgs,1
scikit-learn,Inh L2-6 LAMP5 CA1,256,Binary Score,0.1,12604,3070,0,0,51,1,l2,lbfgs,1
scikit-learn,Exc L4-5 RORB DAPK2,173,Binary Score,0.1,12604,3086,1,9,25,0.905797,l2,lbfgs,1
scikit-learn,Inh L4-5 SST STK32A,93,Binary Score,0.1,12604,3103,0,5,13,0.909091,l2,lbfgs,1
scikit-learn,Inh L2-6 VIP QPCT,37,Binary Score,0.1,12604,3114,0,6,1,0.454545,l2,lbfgs,1
scikit-learn,Inh L3-5 SST ADGRG6,132,Binary Score,0.1,12604,3095,0,7,19,0.954545,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB FILIP1L,153,Binary Score,0.1,12604,3091,0,24,6,0.606061,l2,lbfgs,1
scikit-learn,Inh L5-6 SST NPM1P10,79,Binary Score,0.1,12604,3105,0,5,11,0.916667,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB ESR1,1428,Binary Score,0.1,12604,2832,4,2,283,0.98469,l2,lbfgs,1
scikit-learn,Inh L4-6 SST GXYLT2,41,Binary Score,0.1,12604,3113,0,7,1,0.892857,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP GGH,68,Binary Score,0.1,12604,3107,0,10,4,0.657895,l2,lbfgs,1
scikit-learn,Inh L1 SST NMBR,283,Binary Score,0.1,12604,3064,0,1,56,0.99278,l2,lbfgs,1
scikit-learn,Exc L5-6 FEZF2 EFTUD1P1,314,Binary Score,0.1,12604,3058,0,3,60,0.983051,l2,lbfgs,1
scikit-learn,Inh L1-2 LAMP5 DBP,21,Binary Score,0.1,12604,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Exc L6 FEZF2 SCUBE1,52,Binary Score,0.1,12604,3110,0,2,9,0.882353,l2,lbfgs,1
scikit-learn,Inh L1-4 VIP PENK,17,Binary Score,0.1,12604,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP CHRM2,175,Binary Score,0.1,12604,3086,0,6,29,0.85034,l2,lbfgs,1
scikit-learn,Endo L2-6 NOSTRIN,9,Binary Score,0.1,12604,3119,0,2,0,0,l2,lbfgs,1
scikit-learn,Inh L1-2 PAX6 TNFAIP8L3,16,Binary Score,0.1,12604,3118,0,3,0,0,l2,lbfgs,1
scikit-learn,Inh L2-5 VIP SERPINF1,55,Binary Score,0.1,12604,3110,0,7,4,0.652174,l2,lbfgs,1
scikit-learn,Exc L4-6 RORB C1R,160,Binary Score,0.1,12604,3089,0,14,18,0.833333,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP CCDC184,64,Binary Score,0.1,12604,3108,0,12,1,0.47619,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP PCDH20,61,Binary Score,0.1,12604,3109,0,7,5,0.75,l2,lbfgs,1
scikit-learn,Exc L4-5 FEZF2 SCN4B,25,Binary Score,0.1,12604,3116,0,1,4,0.952381,l2,lbfgs,1
scikit-learn,Inh L5-6 GAD1 GLP1R,27,Binary Score,0.1,12604,3115,0,6,0,0,l2,lbfgs,1
scikit-learn,Inh L4-6 PVALB SULF1,167,Binary Score,0.1,12604,3087,0,18,16,0.833333,l2,lbfgs,1
scikit-learn,Exc L4-5 RORB FOLH1B,870,Binary Score,0.1,12604,2940,7,5,169,0.936768,l2,lbfgs,1
scikit-learn,Inh L1-2 GAD1 MC4R,107,Binary Score,0.1,12604,3100,0,3,18,0.955056,l2,lbfgs,1
scikit-learn,Inh L1 SST CHRNA4,52,Binary Score,0.1,12604,3110,0,11,0,0.526316,l2,lbfgs,1
scikit-learn,Inh L2-4 PVALB WFDC2,387,Binary Score,0.1,12604,3043,1,6,71,0.911528,l2,lbfgs,1
scikit-learn,Oligo L1-6 OPALIN,313,Binary Score,0.1,12604,3057,1,1,62,0.984127,l2,lbfgs,1
scikit-learn,Inh L1-3 VIP ADAMTSL1,72,Binary Score,0.1,12604,3107,0,5,9,0.887097,l2,lbfgs,1
scikit-learn,Inh L1-3 SST CALB1,279,Binary Score,0.1,12604,3065,0,6,50,0.972222,l2,lbfgs,1
scikit-learn,Exc L5-6 THEMIS DCSTAMP,53,Binary Score,0.1,12604,3111,0,5,5,0.769231,l2,lbfgs,1
scikit-learn,Astro L1-2 FGFR3 GFAP,61,Binary Score,0.1,12604,3109,0,4,8,0.909091,l2,lbfgs,1
scikit-learn,Astro L1-6 FGFR3 SLC14A1,230,Binary Score,0.1,12604,3073,2,0,46,0.934959,l2,lbfgs,1
scikit-learn,Exc L3-5 RORB COL22A1,160,Binary Score,0.1,12604,3086,3,2,30,0.9375,l2,lbfgs,1
scikit-learn,Inh L3-6 SST NPY,15,Binary Score,0.1,12604,3118,0,3,0,0,l2,lbfgs,1
scikit-learn,Inh L3-6 SST HPGD,60,Binary Score,0.1,12604,3109,0,5,7,0.9375,l2,lbfgs,1
scikit-learn,Exc L6 FEZF2 OR2T8,19,Binary Score,0.1,12604,3117,0,4,0,0,l2,lbfgs,1
scikit-learn,Inh L1-2 PAX6 CDH12,90,Binary Score,0.1,12604,3103,0,1,17,1,l2,lbfgs,1
scikit-learn,Exc L5-6 RORB TTC12,167,Binary Score,0.1,12604,3085,2,7,27,0.915493,l2,lbfgs,1
scikit-learn,Exc L5-6 SLC17A7 IL15,56,Binary Score,0.1,12604,3110,0,7,4,0.857143,l2,lbfgs,1
scikit-learn,Exc L3-4 RORB CARM1P1,280,Binary Score,0.1,12604,3064,1,14,42,0.963115,l2,lbfgs,1
scikit-learn,Exc L5-6 FEZF2 ABO,373,Binary Score,0.1,12604,3046,0,0,75,0.997305,l2,lbfgs,1
scikit-learn,Micro L1-3 TYROBP,63,Binary Score,0.1,12604,3108,0,1,12,0.942029,l2,lbfgs,1
scikit-learn,Inh L1-2 VIP LBH,47,Binary Score,0.1,12604,3112,0,9,0,0.384615,l2,lbfgs,1
scikit-learn,Inh L1-2 SST BAGE2,108,Binary Score,0.1,12604,3100,0,6,15,0.979381,l2,lbfgs,1
scikit-learn,Inh L5-6 SST KLHDC8A,63,Binary Score,0.1,12604,3108,0,9,4,0.888889,l2,lbfgs,1
